id,created_at,text
1292539902161166336,2020-08-09 19:15:01,@archillect Twin Peaks
1292536289800019970,2020-08-09 19:00:40,@SamTalksTesla Working on my Mom’s cousin’s farm in Saskatchewan at age 17. I think we did a barn-raising that day.
1292346982833352704,2020-08-09 06:28:26,@wonderofscience https://t.co/y7LrlouXr9
1292226279995879426,2020-08-08 22:28:48,"@Erdayastronaut Not sure yet, but hopefully. Will need leg &amp; other repairs. Probably SN6 flies before SN5. We need… https://t.co/CGXSNck6uv"
1292223904182755328,2020-08-08 22:19:21,@lexfridman Clearly
1292223792018677760,2020-08-08 22:18:55,RT @Erdayastronaut: Spot the tiny humans!!! This shot really puts it into scale!!! A full blown Starship and SuperHeavy will be hard to fat…
1292223619607609346,2020-08-08 22:18:13,@ramacvr @Kristennetten @PPathole @BernieSanders Also true
1292223596035600384,2020-08-08 22:18:08,@Kristennetten @PPathole @BernieSanders 🤣🤣
1292215145750360065,2020-08-08 21:44:33,"@PPathole @BernieSanders Over time, since we give all employees shares, my ownership is diluted automatically. From… https://t.co/AQgI0Cu2HN"
1292204554738515968,2020-08-08 21:02:28,"RT @ThePlanetaryGuy: Videos like this will always amaze me...

Astronomer Jan Koet captured this video in 2007 of Saturn appearing behind t…"
1292186775809449985,2020-08-08 19:51:49,@RationalEtienne @BernieSanders I wonder if he reads his Twitter feed
1292184948233969664,2020-08-08 19:44:33,"@BernieSanders And why aim your attacks at Tesla, when we’re doing more than any other company on Earth to advance… https://t.co/Vc6iSFxioZ"
1292183759878463488,2020-08-08 19:39:50,@BernieSanders That bs was pushed by oil &amp; gas interests to distract people from the $5 *trillion* per year they re… https://t.co/pTAWt9dHHc
1292180515336777728,2020-08-08 19:26:57,@Siconik1 @WR4NYGov @28delayslater @BernieSanders 🎯
1292180273254154241,2020-08-08 19:25:59,@WR4NYGov @BernieSanders Good analysis. He also includes a govt loan for high efficiency vehicles that Tesla paid b… https://t.co/iaklN5fvpb
1291928435468587009,2020-08-08 02:45:16,@westcoastbill 💯
1291849720973783040,2020-08-07 21:32:29,"@johnkrausphotos @Erdayastronaut @queue_max @NASASpaceflight Yeah, full name of engine is Velociraptor or Raptor for short"
1291849317876080640,2020-08-07 21:30:53,"@tobyliiiiiiiiii @Erdayastronaut @queue_max @NASASpaceflight Haha, good catch. Booster will have fixed legs that add ~2m in height."
1291848916200067072,2020-08-07 21:29:17,@Erdayastronaut @queue_max @NASASpaceflight I think we can get (Veloci)Raptor T/W on par with Merlin. Latter also s… https://t.co/dlMy5rybrK
1291841121669091330,2020-08-07 20:58:19,@NASASpaceflight It will look crazy tall with booster &amp; fairing at 122m / 394 ft
1291797060912472071,2020-08-07 18:03:14,@RenataKonkoly @TimothyBuffett @Teslarati @JaneidyEve Ok
1291794330772893697,2020-08-07 17:52:23,"@TimothyBuffett @Teslarati Apart from failing to quarantine elderly/at-risk people early (a mistake they recognize), they were right"
1291793367211245568,2020-08-07 17:48:33,@Teslarati https://t.co/kogvN4rMJ8
1291784200178159616,2020-08-07 17:12:08,Good piece on Giga Berlin construction https://t.co/pA8sgEpV9Y
1291776002486448128,2020-08-07 16:39:33,@FutureJurvetson @SpaceX This seems increasingly likely
1291613863457075200,2020-08-07 05:55:16,RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship https://t.co/szO3thMxqa
1291565012603920384,2020-08-07 02:41:09,@Teslarati This is gonna be great
1291504220948951041,2020-08-06 22:39:35,SN5 https://t.co/GlZ28KFVHU
1291197640965623810,2020-08-06 02:21:21,RT @Tesla: Looking up in Model Y https://t.co/iAfpJ491Zz
1290948076908294144,2020-08-05 09:49:40,RT @SpaceX: Starship takes flight https://t.co/IWvwcA05hl
1290826885375696899,2020-08-05 01:48:06,"@PPathole @TrevorMahlmann @arstechnica We’ll do several short hops to smooth out launch process, then go high altitude with body flaps"
1290819744690507781,2020-08-05 01:19:44,@ebelardo73 @bluemoondance74 @TrevorMahlmann @arstechnica Soon
1290819191835164672,2020-08-05 01:17:32,"@TrevorMahlmann @arstechnica V1.1 legs will be ~60% longer. V2.0 legs will be much wider &amp; taller — like Falcon, bu… https://t.co/cGEWEqny7S"
1290817143785783296,2020-08-05 01:09:23,@flcnhvy Progress is accelerating
1290807268552794115,2020-08-05 00:30:09,"RT @NASASpaceflight: LAUNCH! Starship SN5 has launched on a 150 meter test hop at SpaceX Boca Chica.

Under the power of Raptor SN27, SN5 h…"
1290807173258203136,2020-08-05 00:29:46,@SciGuySpace Exactly
1290806924728918017,2020-08-05 00:28:47,@austinbarnard45 Mars is looking real
1290798245761826816,2020-08-04 23:54:18,@TrevorMahlmann Possible flight in 3 mins
1290710257728024578,2020-08-04 18:04:40,@Erdayastronaut Most likely
1290553355467739142,2020-08-04 07:41:11,@flcnhvy @Lindw0rm @cleantechnica True
1290546456030576641,2020-08-04 07:13:46,@Lindw0rm @cleantechnica Highly likely down the road
1290545642067111936,2020-08-04 07:10:32,@cleantechnica True fact
1290448540821594114,2020-08-04 00:44:42,"@NASASpaceflight Scrubbed for the day. A Raptor turbopump spin start valve didn’t open, triggering an automatic abo… https://t.co/QDdlNXFgJg"
1290427983727964160,2020-08-03 23:23:00,@Erdayastronaut I’m in the Boca control room. Hop attempt in ~33 minutes.
1290326134752763905,2020-08-03 16:38:18,"RT @RealLifeStarman: “We are going to go to the moon, we are going to have a base on the moon, we are going to send people to mars and make…"
1290314407549890561,2020-08-03 15:51:42,@Erdayastronaut @SpaceX For sure
1290313960563113992,2020-08-03 15:49:55,"@engineers_feed Tbh, I must confess to occasionally pontificating about high-concept things"
1290313605913759745,2020-08-03 15:48:31,@engineers_feed Pretty much
1290065061780901888,2020-08-02 23:20:53,"@Erdayastronaut Nosecone closing is recommended, but not required, for safe entry"
1290056061253165057,2020-08-02 22:45:07,"When space travel becomes as common as air travel, the future of civilization will be assured"
1290054625186521092,2020-08-02 22:39:25,"RT @NASA: ""To anybody who has touched Endeavour, you should take a moment to just cherish this day."" 

Touching words from @Astro_Doug as @…"
1290038435453919233,2020-08-02 21:35:05,@waitbutwhy Space is the new air
1290035435855425536,2020-08-02 21:23:10,"RT @NASA: LIVE: An update on today's @SpaceX Dragon Endeavour splashdown, returning @AstroBehnken &amp; @Astro_Doug home to Earth. Hear from @J…"
1290021714366103553,2020-08-02 20:28:38,RT @JimBridenstine: UPDATE: Post-SpaceX Crew Dragon DM-2 Splashdown News Conference no earlier than 4:45pm ET. Watch live: https://t.co/qPe…
1290021404994236416,2020-08-02 20:27:25,Congratulations @SpaceX &amp; @NASA on completing first crewed Dragon flight!! 🇺🇸 returned.
1290001350953033728,2020-08-02 19:07:43,RT @SpaceX: Webcast of Crew Dragon’s return to Earth from the @space_station with @AstroBehnken and @Astro_Doug → https://t.co/bJFjLCzWdK h…
1289997355517788160,2020-08-02 18:51:51,"RT @SpaceX: Good splashdown of Dragon confirmed! Welcome back to Earth, @AstroBehnken and @Astro_Doug! https://t.co/0vAS3CcK9P"
1289997160763670530,2020-08-02 18:51:04,Dragon is stable in the water
1289993721463767040,2020-08-02 18:37:24,Acquisition of signal expected in 5 mins
1289992330397618176,2020-08-02 18:31:53,4 mins to Dragon loss of signal due to atmospheric entry plasma
1289987081867993089,2020-08-02 18:11:01,Dragon will travel from south of New Zealand to Florida in ~37 minutes
1289974006087442438,2020-08-02 17:19:04,Coming in hot https://t.co/dzFr5BNBfF
1289968074439847937,2020-08-02 16:55:30,Astronauts land in 2 hours @NASA @SpaceX
1289953852821708803,2020-08-02 15:58:59,RT @SpaceX: Crew Dragon’s flight back to Earth with @AstroBehnken and @Astro_Doug remains on track; targeting splashdown off the coast of P…
1289799068588191747,2020-08-02 05:43:55,"@Erdayastronaut @SpaceX However, we did prove that a SuperDraco landing could work by doing a propulsive hover https://t.co/Mr7VFIQwWf"
1289798584179675136,2020-08-02 05:42:00,"@Erdayastronaut @SpaceX All correct. Parachutes were originally the backup landing system, with SuperDraco thruster… https://t.co/941A2oDu5H"
1289785293621456898,2020-08-02 04:49:11,@meier1028 @SpaceX @Space_Station @AstroBehnken @Astro_Doug Great game
1289785156799090689,2020-08-02 04:48:39,@NatalCicuto @Tesla @Kristennetten @TeslaForThe_Win Working on it
1289751156202209283,2020-08-02 02:33:32,"RT @Commercial_Crew: .@Astro_Doug &amp; @AstroBehnken will spend one more night in space prior to returning to their homeland, Earth.

While as…"
1289709874696220673,2020-08-01 23:49:30,"RT @NASA: The view from inside the @SpaceX Dragon Endeavour, as @AstroBehnken &amp; @Astro_Doug monitor their departure from @Space_Station: ht…"
1289708217694527488,2020-08-01 23:42:55,RT @SpaceX: Separation confirmed. Dragon performing 4 departure burns to move away from the @Space_Station https://t.co/ea14fozdO8
1289628048174616577,2020-08-01 18:24:21,RT @SpaceX: Crew Dragon will depart the @Space_Station with @AstroBehnken and @Astro_Doug in about 6 hours and splash down off the coast of…
1289474926399741954,2020-08-01 08:15:54,@engineeringvids The simplest solution is not necessarily the most satisfying
1289466574353522688,2020-08-01 07:42:43,"RT @cleantechnica: Tesla Autopilot Accidents: 1 out of 4,530,000 Miles; US Average: 1 out of 479,000 Miles https://t.co/NnBeTmY1Tr"
1289462951557005312,2020-08-01 07:28:19,RT @Tesla: Tesla Q2 Vehicle Safety Report https://t.co/C7no6bBwGc
1289452630394040322,2020-08-01 06:47:18,🧙‍♂️ https://t.co/xxvcWMrTwS
1289409927438405633,2020-08-01 03:57:37,@cybrtrck Absolutely. Long-lasting art is incredibly difficult.
1289408490205614080,2020-08-01 03:51:54,This BBC article provides a sensible summary for how it was done https://t.co/le3r20BWID
1289372742639214594,2020-08-01 01:29:51,RT @JimBridenstine: NEWS: Teams from @NASA and @SpaceX remain GO with plans to bring @Astro_Doug and @AstroBehnken home to Earth on Sunday…
1289372707163787265,2020-08-01 01:29:43,"RT @NASA: They're coming home! 🌎🪂

On Aug. 1, astronauts @AstroBehnken and @Astro_Doug will depart the @Space_Station on @SpaceX's Crew Dra…"
1289212751651323904,2020-07-31 14:54:07,"The Great Pyramid was the tallest structure made by humans for 3800 years. Three thousand, eight hundred years.  https://t.co/6DU46eMbni"
1289211244809838594,2020-07-31 14:48:07,RT @Commercial_Crew: @NASA and @SpaceX remain GO with plans to bring @Astro_Doug and @AstroBehnken home to Earth this weekend. Teams will c…
1289087956699844608,2020-07-31 06:38:13,@waitbutwhy So true
1289052484820807680,2020-07-31 04:17:16,Ramses II was 😎
1289051795763769345,2020-07-31 04:14:32,Aliens built the pyramids obv
1289051036271775746,2020-07-31 04:11:31,@Iearnsomethlng Ancient Egypt had an incredible esthetic that stands to this day
1289026571609600000,2020-07-31 02:34:18,@notch ☺️
1288990811682611200,2020-07-31 00:12:12,@matfabrix @engineers_feed Witch logic https://t.co/o5xAopSNw1
1288989028759396352,2020-07-31 00:05:07,"@matfabrix @engineers_feed Things we take for granted, like flying, would have had you burned at the stake for witchcraft not that long ago"
1288988009530966016,2020-07-31 00:01:04,@engineers_feed Engineering is magic made real
1288980527962132481,2020-07-30 23:31:20,@JaneidyEve Lo Que Construimos https://t.co/2yg5GAtgV9
1288973971514302466,2020-07-30 23:05:17,@thesheetztweetz Cool
